decision_id,judge_id,step,decision,time_taken,comment
1,1,cj1,"19,2 -> 2,19",22255,""
2,1,cj2,"12,3 -> 3,12",4112,"Both attempts are poor. The chosen one seems to have a weaker level (copy-pasting bits, wrong inclusion), but the other one misses the key idea."
3,1,cj3,"6,17 -> 6,17",37630,""
4,1,cj4,"9,20 -> 9,20",17078,""
5,1,cj5,"1,2 -> 1,2",45938,""
6,1,cj6,"1,13 -> 1,13",14574,""
7,1,cj7,"19,5 -> 5,19",25187,""
8,1,cj8,"13,6 -> 6,13",18346,""
9,1,cj9,"19,10 -> 10,19",8711,""
10,1,cj10,"14,4 -> 4,14",1199,""
11,1,cj11,"7,13 -> 7,13",47782,""
12,1,cj12,"1,6 -> 1,6",1064,""
13,1,cj13,"9,13 -> 13,9",1167,""
14,1,cj14,"17,12 -> 12,17",29406,""
15,1,cj15,"8,20 -> 8,20",6508,""
16,1,evaluate_cj,Difficult,0,"Most summaries were very poor. I found it hard to come up with a reason to prefer one proof over another when both show clear lack of understanding in different ""directions""."
17,1,rank1,"4,5,7,18,6 -> 5,6,4,7,18",3239,""
18,1,rank2,"4,19,8,3,7 -> 3,8,4,7,19",1131,""
19,1,rank3,"10,19,18,17,7 -> 10,7,17,18,19",1206,""
20,1,rank4,"3,13,1,15,8 -> 3,1,8,13,15",1509,""
21,1,rank5,"9,19,16,6,12 -> 6,16,12,9,19",1797,""
22,1,evaluate_rank,Difficult,0,difficult to rank attempts that are very poor for different reasons
23,1,evaluation,Method 2: Ranking,0,"When ranking two very poor attempts, choosing felt sometimes a bit random. With the ranking method, I did get a better sense of the overall ranking (even if I could have easily swapped two particular summaries)."
24,4,rank1,"1,17,8,11,2 -> 17,8,1,11,2",1006,""
25,4,rank2,"4,17,7,19,3 -> 7,17,3,4,19",45554,""
26,4,rank3,"1,10,13,7,19 -> 10,7,1,13,19",33376,""
27,4,rank4,"1,18,12,9,16 -> 16,9,1,12,18",58023,""
28,4,rank5,"4,12,1,8,14 -> 8,4,1,12,14",42732,""
29,4,evaluate_rank,Neutral,0,""
30,4,cj1,"18,11 -> 11,18",12778,""
31,4,cj2,"9,15 -> 9,15",4328,""
32,4,cj3,"1,20 -> 1,20",2304,""
33,4,cj4,"9,5 -> 5,9",17218,""
34,4,cj5,"16,2 -> 16,2",7273,""
35,4,cj6,"19,4 -> 4,19",8185,""
36,4,cj7,"6,15 -> 6,15",4875,""
37,4,cj8,"7,5 -> 5,7",21193,""
38,4,cj9,"7,3 -> 3,7",3369,""
39,4,cj10,"17,2 -> 17,2",17169,""
40,4,cj11,"4,1 -> 1,4",10830,""
41,4,cj12,"19,9 -> 9,19",10488,""
42,4,cj13,"1,15 -> 1,15",15831,""
43,4,cj14,"9,13 -> 9,13",4674,""
44,4,cj15,"9,6 -> 6,9",9194,""
45,4,evaluate_cj,Neutral,0,what to do if both summaries are wrong
46,4,cj1,"10,9 -> 10,9",47058,""
47,4,cj1,"14,10 -> 10,14",8230,""
48,3,cj2,"13,1 -> 13,1",1346,Neither are particularly good!
49,3,cj3,"16,10 -> 10,16",13054,""
50,3,cj4,"5,4 -> 5,4",35862,""
51,3,cj5,"6,3 -> 3,6",28361,""
52,3,cj6,"9,2 -> 9,2",37063,""
53,3,cj7,"10,6 -> 6,10",21918,""
54,3,cj8,"9,11 -> 11,9",14562,""
55,3,cj9,"14,8 -> 8,14",28991,""
56,3,cj10,"4,7 -> 7,4",28387,""
57,3,cj11,"15,8 -> 8,15",15956,""
58,3,cj12,"8,10 -> 10,8",19646,""
59,3,cj13,"8,1 -> 1,8",20997,""
60,3,cj14,"19,20 -> 19,20",4030,""
61,3,cj15,"5,3 -> 3,5",37492,""
62,3,evaluate_cj,Difficult,0,Some of the summaries are simply unintelligible! 
63,3,ccj1,"2,4 -> 4,2",41793,""
64,3,ccj2,"4,8 -> 8,4",31206,""
65,3,ccj3,"8,10 -> 10,8",32127,""
66,3,ccj4,"10,6 -> 6,10",16968,""
67,3,ccj5,"6,7 -> 6,7",34451,""
68,3,ccj6,"7,1 -> 1,7",26226,""
69,3,ccj7,"1,11 -> 1,11",14721,""
70,10,rank1,"12,13,10,14,8 -> 12,13,8,10,14",2479,none of these descriptions are particularly good
71,10,rank2,"2,9,4,15,20 -> 9,20,4,2,15",2572,"the blank one is better than some of these to be honest, at least it accurately states that the writer did not understand the proof"
72,10,rank3,"15,17,7,12,16 -> 7,12,17,15,16",1421,""
73,10,rank4,"7,11,9,10,6 -> 7,11,9,10,6",1198,"i dont know if this quiz is broken but i keep being shown the same statements over and over agian. I'm just clicking through now without ranking them, so ignore my answers for this and all future parts of this quz"
74,10,rank5,"5,19,6,15,9 -> 5,19,6,15,9",2265,"i dont know if this quiz is broken but i keep being shown the same statements over and over agian. I'm just clicking through now without ranking them, so ignore my answers for this and all future parts of this quz"
75,10,evaluate_rank,Neutral,0,i didnt do the last 3 questions since i was just being shown the same statemnets over and over again
76,12,ccj1,"2,13 -> 13,2",1263,""
77,12,ccj2,"13,3 -> 3,13",17516,""
78,12,ccj3,"3,18 -> 3,18",15148,""
79,12,ccj4,"18,8 -> 8,18",42241,""
80,12,ccj5,"8,13 -> 8,13",11112,""
81,12,ccj6,"13,15 -> 13,15",12324,""
82,12,ccj7,"15,8 -> 8,15",7821,""
83,12,ccj8,"8,5 -> 8,5",1055,""
84,12,ccj9,"5,11 -> 5,11",32628,""
85,12,ccj10,"11,20 -> 11,20",14205,""
86,12,ccj11,"20,14 -> 14,20",11375,""
87,12,ccj12,"14,3 -> 3,14",24256,""
88,12,ccj13,"3,5 -> 3,5",19531,""
89,12,ccj14,"5,4 -> 5,4",27388,""
90,12,ccj15,"4,17 -> 4,17",19927,""
91,12,evaluate_ccj,Neutral,0,""
92,15,cj1,"7,13 -> 13,7",30529,""
93,15,cj2,"10,16 -> 10,16",20401,""
94,15,cj3,"8,13 -> 13,8",32080,""
95,15,cj4,"13,2 -> 13,2",24795,""
96,15,cj5,"17,15 -> 17,15",50677,""
97,15,cj6,"2,6 -> 6,2",15904,""
98,15,cj7,"7,4 -> 4,7",1078,""
99,15,cj8,"13,16 -> 13,16",11795,""
100,15,cj9,"8,3 -> 3,8",27156,""
101,15,cj10,"16,18 -> 16,18",12647,""
